id,date,product,quantity,price
0001,2026-02-17,Maxi Café 84,18,74.21
0002,2025-06-22,Maxi Fone 75,3,297.66
0003,2025-11-15,Smart Sofá 74,28,123.76
0004,2025-05-29,Mini Sofá 12,3,278.75
0005,2026-01-28,Eco Set 62,27,107.75
0006,2025-06-09,Mini Dicionário 38,31,451.49
0007,2026-03-01,Basic Bicicleta 26,3,361.58
0008,2026-04-04,Mini Sofá 67,18,167.31
0009,2026-04-13,Smart Kit 43,29,99.07
0010,2025-06-09,Maxi Dicionário 5,23,16.14
0011,2025-05-27,Premium Dicionário 98,40,482.63
0012,2026-01-17,Ultra Dicionário 44,2,13.38
0013,2026-02-25,Eco Crema 19,37,26.72
0014,2026-02-15,Smart Café 27,5,454.05
0015,2026-05-03,Basic Crema 22,17,447.56
0016,2026-05-10,Elite Café 28,27,109.91
0017,2025-09-26,Mini Set 41,30,422.66
0018,2025-06-04,Eco Dicionário 11,48,313.83
0019,2026-03-18,Mini Sofá 25,13,81.11
0020,2026-05-18,Elite Set 75,22,473.72
0021,2026-03-20,Eco Set 59,15,70.06
0022,2026-03-01,Smart Café 98,17,184.75
0023,2025-07-12,Maxi Sofá 97,47,455.47
0024,2025-09-12,Smart Crema 82,12,222.13
0025,2025-06-03,Ultra Kit 87,41,7.32
0026,2026-03-15,Maxi Tênis 92,1,275.15
0027,2025-09-26,Smart Tênis 40,45,270.22
0028,2026-05-07,Premium Café 68,43,449.01
0029,2025-09-28,Elite Crema 60,49,338.17
0030,2025-10-28,Premium Café 30,38,286.58
0031,2026-05-19,Ultra Bicicleta 40,22,41.51
0032,2026-01-06,Ultra Sofá 93,7,26.93
0033,2025-11-17,Ultra Dicionário 81,20,187.54
0034,2026-01-29,Pro Pack 58,26,7.08
0035,2025-10-11,Maxi Crema 88,7,350.06
0036,2025-09-13,Ultra Kit 68,9,244.68
0037,2025-12-07,Maxi Café 24,13,69.26
0038,2026-05-07,Basic Pack 56,43,430.09
0039,2025-11-15,Elite Crema 89,5,466.88
0040,2026-01-08,Elite Bicicleta 29,21,347.34
0041,2025-05-29,Pro Sofá 68,20,363.28
0042,2026-02-06,Eco Tênis 92,20,455.83
0043,2025-07-16,Maxi Café 36,2,293.75
0044,2025-07-06,Ultra Bicicleta 29,33,68.53
0045,2026-03-23,Ultra Fone 50,29,131.06
0046,2026-03-01,Smart Bicicleta 91,35,336.35
0047,2025-12-10,Elite Set 82,20,399.01
0048,2026-01-15,Smart Kit 48,21,467.18
0049,2025-08-23,Premium Sofá 83,5,420.08
0050,2025-07-13,Basic Kit 63,38,21.70
0051,2025-06-11,Mini Pack 45,8,139.68
0052,2026-01-06,Maxi Tênis 51,27,31.32
0053,2026-01-31,Ultra Crema 37,8,85.51
0054,2025-11-07,Premium Crema 84,47,126.73
0055,2026-05-23,Premium Pack 42,22,407.20
0056,2026-01-05,Basic Pack 94,25,355.64
0057,2026-01-13,Basic Tênis 48,10,291.89
0058,2025-12-13,Giga Crema 64,5,351.05
0059,2025-09-19,Smart Tênis 39,12,311.05
0060,2025-10-17,Elite Sofá 64,31,362.12
0061,2026-01-19,Elite Tênis 14,9,294.07
0062,2026-01-04,Elite Tênis 46,32,149.11
0063,2025-09-03,Premium Fone 52,1,425.59
0064,2026-02-28,Eco Crema 2,3,284.85
0065,2026-03-20,Mini Fone 1,47,182.99
0066,2026-01-27,Mini Pack 45,44,364.33
0067,2025-10-12,Elite Bicicleta 57,38,152.52
0068,2025-09-07,Basic Café 96,27,473.80
0069,2026-03-16,Basic Café 72,49,238.06
0070,2026-02-15,Premium Dicionário 58,26,409.05
0071,2025-09-12,Pro Kit 26,23,252.27
0072,2025-11-07,Pro Crema 42,25,228.89
0073,2025-08-13,Elite Set 12,28,131.93
0074,2025-11-21,Giga Kit 3,21,174.15
0075,2025-12-20,Smart Bicicleta 82,13,48.09
0076,2025-11-04,Eco Dicionário 13,43,255.71
0077,2025-10-12,Smart Pack 96,3,102.00
0078,2025-06-09,Basic Pack 13,16,121.49
0079,2026-04-15,Smart Bicicleta 47,2,314.19
0080,2026-04-15,Maxi Tênis 12,25,151.88
0081,2025-06-04,Smart Pack 19,3,62.81
0082,2025-06-02,Pro Set 78,10,82.84
0083,2026-05-13,Smart Tênis 67,11,126.65
0084,2025-07-22,Premium Tênis 74,42,125.77
0085,2025-08-09,Maxi Set 89,20,252.91
0086,2025-10-17,Maxi Set 39,14,361.54
0087,2025-12-02,Basic Pack 36,38,209.39
0088,2025-09-24,Eco Pack 24,40,444.97
0089,2025-07-02,Pro Crema 38,34,175.27
0090,2025-06-22,Maxi Bicicleta 93,11,419.48
0091,2026-02-18,Pro Tênis 74,44,381.08
0092,2026-02-02,Mini Set 95,21,40.82
0093,2025-06-21,Giga Dicionário 14,48,238.71
0094,2025-08-09,Basic Bicicleta 24,30,437.29
0095,2025-11-07,Pro Dicionário 71,47,423.35
0096,2025-06-06,Pro Kit 95,12,237.96
0097,2025-12-07,Giga Dicionário 58,27,420.72
0098,2025-11-23,Elite Crema 67,36,56.17
0099,2025-10-21,Smart Bicicleta 13,1,236.73
0100,2025-05-27,Pro Bicicleta 42,5,63.35
0101,2025-12-01,Elite Set 69,34,474.05
0102,2025-09-25,Premium Bicicleta 78,47,405.28
0103,2025-06-26,Basic Fone 52,19,437.26
0104,2025-10-13,Smart Set 24,45,117.03
0105,2025-09-16,Pro Bicicleta 52,28,402.33
0106,2025-09-15,Eco Crema 85,17,270.44
0107,2026-02-05,Ultra Set 33,24,368.67
0108,2025-12-20,Basic Bicicleta 45,9,466.43
0109,2025-11-06,Eco Set 43,47,134.23
0110,2026-04-30,Elite Kit 32,46,77.97
0111,2025-07-09,Smart Crema 54,48,292.87
0112,2025-06-26,Premium Set 26,50,78.49
0113,2025-06-15,Premium Set 7,14,135.56
0114,2025-09-05,Mini Sofá 64,42,126.81
0115,2025-09-18,Basic Pack 88,19,8.41
0116,2025-08-26,Premium Café 27,48,15.58
0117,2025-07-24,Basic Café 85,29,164.73
0118,2025-07-06,Elite Sofá 81,7,356.73
0119,2025-06-22,Eco Fone 38,32,342.38
0120,2025-12-30,Premium Pack 11,43,149.62
0121,2026-02-12,Elite Kit 35,30,301.28
0122,2026-05-05,Elite Dicionário 46,24,307.54
0123,2025-06-29,Pro Tênis 61,17,13.53
0124,2026-02-02,Smart Café 5,41,68.85
0125,2026-01-21,Pro Fone 94,32,458.89
0126,2026-01-11,Ultra Kit 30,35,318.34
0127,2025-06-26,Basic Café 98,13,406.86
0128,2026-01-26,Maxi Set 95,15,289.45
0129,2026-03-09,Ultra Café 75,18,51.18
0130,2025-12-10,Ultra Bicicleta 12,23,498.74
0131,2025-06-11,Giga Kit 29,30,368.32
0132,2025-05-31,Smart Kit 89,41,457.82
0133,2025-12-16,Basic Pack 82,20,444.21
0134,2025-10-19,Smart Dicionário 8,17,320.37
0135,2026-05-07,Ultra Dicionário 42,16,337.50
0136,2025-10-05,Eco Tênis 71,28,415.06
0137,2025-06-28,Elite Kit 38,24,31.98
0138,2025-08-02,Mini Tênis 21,37,466.45
0139,2025-06-01,Elite Pack 55,27,415.76
0140,2025-09-14,Maxi Dicionário 35,9,135.06
0141,2025-10-29,Mini Pack 24,39,213.18
0142,2025-06-11,Smart Café 70,18,325.66
0143,2025-09-30,Elite Pack 31,3,143.18
0144,2025-07-31,Premium Pack 31,34,34.51
0145,2025-09-22,Eco Pack 96,42,96.79
0146,2026-05-26,Smart Dicionário 59,20,465.19
0147,2026-04-21,Smart Pack 35,16,137.79
0148,2026-01-04,Basic Fone 8,31,102.16
0149,2025-06-21,Premium Sofá 44,35,431.04
0150,2026-03-27,Eco Kit 25,3,265.40
0151,2025-11-18,Maxi Fone 41,39,379.29
0152,2025-09-30,Smart Tênis 63,37,82.99
0153,2026-04-09,Giga Kit 94,1,131.97
0154,2025-11-09,Pro Café 90,14,112.91
0155,2026-02-22,Maxi Sofá 34,9,140.64
0156,2026-02-18,Mini Set 71,43,361.05
0157,2025-06-11,Pro Bicicleta 25,13,149.19
0158,2026-02-23,Ultra Sofá 75,29,157.41
0159,2026-03-24,Basic Tênis 91,27,316.45
0160,2025-09-22,Pro Tênis 61,45,100.56
0161,2025-06-05,Maxi Tênis 17,46,346.64
0162,2026-05-12,Mini Set 82,14,477.75
0163,2026-05-18,Pro Pack 56,49,94.04
0164,2025-11-16,Basic Tênis 19,14,282.38
0165,2026-01-16,Mini Dicionário 9,19,174.53
0166,2026-04-01,Basic Crema 32,48,124.67
0167,2026-02-17,Basic Tênis 28,31,478.63
0168,2026-02-01,Basic Bicicleta 31,26,31.93
0169,2025-08-26,Premium Pack 56,4,287.19
0170,2026-02-24,Ultra Pack 58,25,352.05
0171,2026-03-21,Basic Kit 22,48,412.40
0172,2025-10-07,Premium Pack 36,20,394.31
0173,2026-01-29,Maxi Kit 77,35,301.29
0174,2025-08-22,Elite Sofá 60,28,181.41
0175,2025-09-17,Maxi Dicionário 89,7,54.62
0176,2026-01-27,Elite Crema 63,6,242.90
